timestamp,server,total_memory_mb,used_memory_mb,free_memory_mb,memory_utilization_percent
2025-01-01 00:00:00,server-1,32768,22926,9841,69.97
2025-01-01 00:05:00,server-1,32768,20846,11921,63.62
2025-01-01 00:10:00,server-1,32768,23421,9346,71.48
2025-01-01 00:15:00,server-1,32768,26289,6478,80.23
2025-01-01 00:20:00,server-1,32768,20531,12236,62.66
2025-01-01 00:25:00,server-1,32768,20531,12236,62.66
2025-01-01 00:30:00,server-1,32768,26473,6294,80.79
2025-01-01 00:35:00,server-1,32768,23813,8954,72.67
2025-01-01 00:40:00,server-1,32768,19760,13007,60.31
2025-01-01 00:45:00,server-1,32768,23077,9690,70.43
2025-01-01 00:50:00,server-1,32768,19780,12987,60.37
2025-01-01 00:55:00,server-1,32768,19773,12994,60.34
2025-01-01 01:00:00,server-1,32768,22092,10675,67.42
2025-01-01 01:05:00,server-1,32768,15029,17738,45.87
2025-01-01 01:10:00,server-1,32768,15646,17121,47.75
2025-01-01 01:15:00,server-1,32768,19456,13311,59.38
2025-01-01 01:20:00,server-1,32768,17980,14787,54.87
2025-01-01 01:25:00,server-1,32768,22328,10439,68.14
2025-01-01 01:30:00,server-1,32768,18323,14444,55.92
2025-01-01 01:35:00,server-1,32768,16671,16096,50.88
2025-01-01 01:40:00,server-1,32768,26101,6666,79.66
2025-01-01 01:45:00,server-1,32768,20559,12208,62.74
2025-01-01 01:50:00,server-1,32768,21520,11247,65.68
2025-01-01 01:55:00,server-1,32768,16630,16137,50.75
2025-01-01 02:00:00,server-1,32768,19515,13252,59.56
2025-01-01 02:05:00,server-1,32768,21662,11105,66.11
2025-01-01 02:10:00,server-1,32768,17527,15240,53.49
2025-01-01 02:15:00,server-1,32768,22530,10237,68.76
2025-01-01 02:20:00,server-1,32768,19331,13436,58.99
2025-01-01 02:25:00,server-1,32768,20343,12424,62.08
2025-01-01 02:30:00,server-1,32768,19327,13440,58.98
2025-01-01 02:35:00,server-1,32768,27368,5399,83.52
